split_source,source_row_id,review_text,review_text_clean
train,79,"Good magazine, plenty of interesting stuff, up to date info, fashions, fashion tips, health and beauty.
Would recommend.","Good magazine, plenty of interesting stuff, up to date info, fashions, fashion tips, health and beauty. Would recommend."
train,82,great magazine!  Came very quickly.,great magazine! Came very quickly.
train,83,there's too many ads and not enough articles.  Self magazine and marie claire are better for this reason.,there's too many ads and not enough articles. Self magazine and marie claire are better for this reason.
train,97,"Got the first issue and then cancelled.  Lots of health info followed by a FULL PAGE AD FOR CIGARETTES.
Can you say hypocritical !!!!",Got the first issue and then cancelled. Lots of health info followed by a FULL PAGE AD FOR CIGARETTES. Can you say hypocritical !!!!
train,105,I think there are a lot of useless articles.  The cabbage recipes were unappetizing.  I was glad I didn't buy it.,I think there are a lot of useless articles. The cabbage recipes were unappetizing. I was glad I didn't buy it.
train,113,I can learn how to eat healthy and do exercise at the gym on my own thank you very much.  I cancelled my subscription.,I can learn how to eat healthy and do exercise at the gym on my own thank you very much. I cancelled my subscription.
train,118,"The magazine is starting to have fair to much advertising and less pertinent info on ""Men's Health"".  I might have to switch to something else.","The magazine is starting to have fair to much advertising and less pertinent info on ""Men's Health"". I might have to switch to something else."
train,119,"i ordered  men's health for someone incarcerated,  i year subscribtion., out of  that year they only received 2 magazines.","i ordered men's health for someone incarcerated, i year subscribtion., out of that year they only received 2 magazines."
train,121,"It's a magazine... is there really reviews on those??

 Yea is an pretty nice magazine.  Has all kinds of magazine stuff in it...",It's a magazine... is there really reviews on those?? Yea is an pretty nice magazine. Has all kinds of magazine stuff in it...
train,126,"I'm writing a one point review because I never did get the magazine on my kindle.  Wow I thought I subscribed to it a while ago.  Please correct.
Diane Boyle",I'm writing a one point review because I never did get the magazine on my kindle. Wow I thought I subscribed to it a while ago. Please correct. Diane Boyle
train,131,"SOOOO MANY ADS!!!!!
So many in fact, you won't be able to tell what's written by the Magazine and what's an ad.","SOOOO MANY ADS!!!!! So many in fact, you won't be able to tell what's written by the Magazine and what's an ad."
train,134,Received my first magazine in May and it was the April issue.  I hope they don't charge me for a month old magazine.,Received my first magazine in May and it was the April issue. I hope they don't charge me for a month old magazine.
train,136,Don't waste your time unless you have a kindle fire or ipad.  Kindle apps on android phones or tablets are not allowed to load this kindle item.,Don't waste your time unless you have a kindle fire or ipad. Kindle apps on android phones or tablets are not allowed to load this kindle item.
train,140,You keep sending it to the wrong address and it is present to some else.  I am trying to correct this.,You keep sending it to the wrong address and it is present to some else. I am trying to correct this.
train,147,"Poor writing, and includes a ridiculous full-page ad for male sexual enhancements.  Don't give this to kids.","Poor writing, and includes a ridiculous full-page ad for male sexual enhancements. Don't give this to kids."
train,151,"Another THIN issue.  Hoping this was a one-time thing.  Will not purchase again, if this continues to be the norm.","Another THIN issue. Hoping this was a one-time thing. Will not purchase again, if this continues to be the norm."
train,153,"I got bombarded with glossy junk mail and watch out for hidden renewals.
My wife got me a subscription through her airline miles program. I did not like it.",I got bombarded with glossy junk mail and watch out for hidden renewals. My wife got me a subscription through her airline miles program. I did not like it.
train,155,Love to read the articles and recipes!  Loved to read mom's subscription growing up and now I've given it to my daughters.  Three generations of readers....,Love to read the articles and recipes! Loved to read mom's subscription growing up and now I've given it to my daughters. Three generations of readers....
train,159,I bought this for my boyfriend because he kept taking my Cosmo magazine.  It has great articles for guys and for their girlfriends.,I bought this for my boyfriend because he kept taking my Cosmo magazine. It has great articles for guys and for their girlfriends.
train,167,"I purchased this to read in doctors office.  With changes in the way it is down loaded and how many can be on my device, that plan is not working.  I do not like","I purchased this to read in doctors office. With changes in the way it is down loaded and how many can be on my device, that plan is not working. I do not like"
train,173,"I probably shouldn't have gotten it for 5th graders.  There were cigarette ads throughout each issue!  Really could've done without those, and the conversations that followed!","I probably shouldn't have gotten it for 5th graders. There were cigarette ads throughout each issue! Really could've done without those, and the conversations that followed!"
train,175,"Wonderful magazine, I am a subscriber for15 years and I love it, now that I can get the digital issue on my kindle, I can read anywhere.
thanks!","Wonderful magazine, I am a subscriber for15 years and I love it, now that I can get the digital issue on my kindle, I can read anywhere. thanks!"
train,176,"I look forward to checking the latest issue every month.  With this new edition, the magazine has been downloading for 3 days.  It is a technical problem.","I look forward to checking the latest issue every month. With this new edition, the magazine has been downloading for 3 days. It is a technical problem."
train,177,"I subscribed most of my adult life.  I finally discontinued because the magazine is now more ""Popular People of Science""  and less about the science itself.","I subscribed most of my adult life. I finally discontinued because the magazine is now more ""Popular People of Science"" and less about the science itself."
train,181,"I have read BH&G since the 70s.  I have never been disappointed with the quality and content.  Always interesting and so full of projects, ideas and recipes.","I have read BH&G since the 70s. I have never been disappointed with the quality and content. Always interesting and so full of projects, ideas and recipes."
train,188,Canx my subscription....way too much advertisement!  Keep in mind though. I hate commercials!  Only exception is Superbowl!,Canx my subscription....way too much advertisement! Keep in mind though. I hate commercials! Only exception is Superbowl!
train,192,The magazine is so thin -- not much articles to read in this issue.  Will the coming issues also be this thin?,The magazine is so thin -- not much articles to read in this issue. Will the coming issues also be this thin?
train,200,I'm very please with my subscription.  Every issue is on time and filled with all kinds of ideas!  Thank you!,I'm very please with my subscription. Every issue is on time and filled with all kinds of ideas! Thank you!
train,203,Seems like each magazine gets smaller each time and it appears that there are way too many advertisements.  I liked it much better before.,Seems like each magazine gets smaller each time and it appears that there are way too many advertisements. I liked it much better before.
train,204,I'm a HD rider and this is really not defined to that manufactor.  I skim though it every month but I won't subscribe again.,I'm a HD rider and this is really not defined to that manufactor. I skim though it every month but I won't subscribe again.
train,207,Love this magazine!  Have subscribed to it for years!  Buying my subscription through Amazon gets me the beat price and best delivery!,Love this magazine! Have subscribed to it for years! Buying my subscription through Amazon gets me the beat price and best delivery!
train,209,"My husband loves, loves, loves this magazine. Actually, I find myself flipping through it as well.  If you are a "" do it yourselfer""  than this magazine is a must!","My husband loves, loves, loves this magazine. Actually, I find myself flipping through it as well. If you are a "" do it yourselfer"" than this magazine is a must!"
train,210,I give this magazine to the woodworkers in our family and they love it.  It is well illustrated and has projects for the beginner as well as the advanced woodworker.,I give this magazine to the woodworkers in our family and they love it. It is well illustrated and has projects for the beginner as well as the advanced woodworker.
train,212,"I have been a subscriber for over 20 years and love, love, love this magazine.  Can't beat the value by ordering from here!","I have been a subscriber for over 20 years and love, love, love this magazine. Can't beat the value by ordering from here!"
train,217,"As always, this magazine exceeds my exectations.  I learn valuable new tips with every issue.
Sharon Weeks","As always, this magazine exceeds my exectations. I learn valuable new tips with every issue. Sharon Weeks"
train,219,"Love it.  Great magazine, great articles, great price.  I wish Amazon was adding more 1 year auto renewal magazines (instead of removing them)","Love it. Great magazine, great articles, great price. I wish Amazon was adding more 1 year auto renewal magazines (instead of removing them)"
train,221,I ordered this on 12/23/08 as a gift and the person still has not received their first issue as of 2/3/09.  Very disappointed.,I ordered this on 12/23/08 as a gift and the person still has not received their first issue as of 2/3/09. Very disappointed.
train,223,perhaps my expectations were too high.  Disappointed.,perhaps my expectations were too high. Disappointed.
train,226,"Given as a gift. We have heard no feedback.
Must have not impressed the recipient.",Given as a gift. We have heard no feedback. Must have not impressed the recipient.
train,227,"I have not received this magazine, so I can not write a review>
Please let me know when I will receive the magazine.
Tnank you.

Carol","I have not received this magazine, so I can not write a review> Please let me know when I will receive the magazine. Tnank you. Carol"
train,228,Haven't received my subscription yet! I going to give this product more time  to arrive to my home before  I contact who is responsible.,Haven't received my subscription yet! I going to give this product more time to arrive to my home before I contact who is responsible.
train,229,"Ordered magazine on 12/27/08.  As of February 27, 2009 still have not received my subscription.","Ordered magazine on 12/27/08. As of February 27, 2009 still have not received my subscription."
train,239,Lots of advertising.  Light on content.,Lots of advertising. Light on content.
train,241,"Living in Vegas, I truly miss my beloved Texas.  The magazine keeps me informed of happenings across the state.  The articles and BBQ recipes are just the best!!!","Living in Vegas, I truly miss my beloved Texas. The magazine keeps me informed of happenings across the state. The articles and BBQ recipes are just the best!!!"
train,243,"Wonderful magazine! Thank you for the opportunity to purchase at a great price!
Brenda Cooper",Wonderful magazine! Thank you for the opportunity to purchase at a great price! Brenda Cooper
train,250,Sent this subscription to my son three years ago and he loves it.  I have renewed it for him here at a great price.,Sent this subscription to my son three years ago and he loves it. I have renewed it for him here at a great price.
train,256,"Too many ads.  Too many ""Best restaurents, doctors, lawyers, etc."" listings.  Maybe one or two good articles per issue.  Probably won't subscribe again.","Too many ads. Too many ""Best restaurents, doctors, lawyers, etc."" listings. Maybe one or two good articles per issue. Probably won't subscribe again."
train,258,Didn't order this.  PLEASE DON'T ORDER THIS MAGAZINE.,Didn't order this. PLEASE DON'T ORDER THIS MAGAZINE.
train,260,"The stories, locations, and special interests topics are spectacular and well written.  Would recommend this to all of my friends.","The stories, locations, and special interests topics are spectacular and well written. Would recommend this to all of my friends."
train,263,My dad called to let me know he got his first issue.  He and mom love it.  I knew that they would.  Thanks Amazon for making it available at a great cost.,My dad called to let me know he got his first issue. He and mom love it. I knew that they would. Thanks Amazon for making it available at a great cost.
train,265,I was disappointed as I don't travel on quite the grand scale they cater to.  I cancelled after 5 mos. as I couln't find anything appliable to my style.,I was disappointed as I don't travel on quite the grand scale they cater to. I cancelled after 5 mos. as I couln't find anything appliable to my style.
train,269,I can't review the Monthly at this time; simply I ain't received it.  LOL,I can't review the Monthly at this time; simply I ain't received it. LOL
train,270,"House Beautiful inspires me to make little changes in my home to keep 'in style.'  There's always an article about using color, and Alex has some good recipes!","House Beautiful inspires me to make little changes in my home to keep 'in style.' There's always an article about using color, and Alex has some good recipes!"
train,271,"The subscription  started a month earlier than I was told, which was great...","The subscription started a month earlier than I was told, which was great..."
train,274,"No better than it was years ago when I quit subscribing.
Too many ads and not enough articles of interest.
Still pretty poor.",No better than it was years ago when I quit subscribing. Too many ads and not enough articles of interest. Still pretty poor.
train,275,I did not like the magazine.  Cancelled the subscription after about 15 minutes. Lots of ads and not much to read. Sorry.,I did not like the magazine. Cancelled the subscription after about 15 minutes. Lots of ads and not much to read. Sorry.
train,276,"Mostly ads anyway, this magazine is only for the wealthy.  I have better ways of spending my money than wasting $200 on a throw pillow.","Mostly ads anyway, this magazine is only for the wealthy. I have better ways of spending my money than wasting $200 on a throw pillow."
train,277,Still has too much advertising for the regular price of the magazine.  Not sure if I will renew or buy in future on regular basis.,Still has too much advertising for the regular price of the magazine. Not sure if I will renew or buy in future on regular basis.
train,279,Way too many ads in this magazine and not enough travel content for the regular traveler.  I won't renew this subscription when it's time.,Way too many ads in this magazine and not enough travel content for the regular traveler. I won't renew this subscription when it's time.
train,284,"I've always loved this magazine---I'm so glad I finally got around to getting a subsrciption!

YES, there ARE moderates and liberals in Texas!","I've always loved this magazine---I'm so glad I finally got around to getting a subsrciption! YES, there ARE moderates and liberals in Texas!"
train,286,"This magazine, first issue came before I expected
but good to have. Nicely done. Bought the subscription
for $39 for 6 mos. You get this US Wkly every week!","This magazine, first issue came before I expected but good to have. Nicely done. Bought the subscription for $39 for 6 mos. You get this US Wkly every week!"
train,288,No info for print subscriber to assist in understanding digital policy?  You just  want me to pay...again?  Not everyone buys Apple.,No info for print subscriber to assist in understanding digital policy? You just want me to pay...again? Not everyone buys Apple.
train,294,Still having technical difficulties processing my subscription?  It's been 6 months!,Still having technical difficulties processing my subscription? It's been 6 months!
train,295,What can you say about the perfect golf magazine?  My husband loves it.  Perfect gift for him!,What can you say about the perfect golf magazine? My husband loves it. Perfect gift for him!
train,300,"It's great!!!
I would recommend this book to all of my friends. I have learned a lot from this magazine. LOVE LOVE LOVE!!!",It's great!!! I would recommend this book to all of my friends. I have learned a lot from this magazine. LOVE LOVE LOVE!!!
train,301,I have been subscribing to handyman for many years and I keep up with my old issues for my use as well as those that come by to borrow them.  Great ideas that we all can use.,I have been subscribing to handyman for many years and I keep up with my old issues for my use as well as those that come by to borrow them. Great ideas that we all can use.
train,304,"To many ads and not enough real articlies to shank up my attention.
Truely, a loss of one my all time farvoite magazines!!!!","To many ads and not enough real articlies to shank up my attention. Truely, a loss of one my all time farvoite magazines!!!!"
train,305,I find that this magazine is too full of advertising and not enough of the guitar lessons material I was looking for.  I won't re-subscribe.,I find that this magazine is too full of advertising and not enough of the guitar lessons material I was looking for. I won't re-subscribe.
train,308,"I've been reading GOLF Magazine for years and feel it is the best golf magazine available.  I have just begun reading it electronically, which makes more sense for me.","I've been reading GOLF Magazine for years and feel it is the best golf magazine available. I have just begun reading it electronically, which makes more sense for me."
train,309,It is not what I expected.  I defintely do not want to renew for another year.  There are a lot of magazines that give you tips and ideas for your home.  Do not renew.,It is not what I expected. I defintely do not want to renew for another year. There are a lot of magazines that give you tips and ideas for your home. Do not renew.
train,312,"I look forward every month to get my issue and read in bed after a long, hectic day.  I highly recommend it.","I look forward every month to get my issue and read in bed after a long, hectic day. I highly recommend it."
train,315,Love this magazine! Great ideas with a very good price.  The photos are great and the houses picked are decorated by fenomenal artists.,Love this magazine! Great ideas with a very good price. The photos are great and the houses picked are decorated by fenomenal artists.
train,321,"I love this magazine, it has tons of great ideas, tips and tools.  I like it so much I ordered a subscription for my brother.","I love this magazine, it has tons of great ideas, tips and tools. I like it so much I ordered a subscription for my brother."
train,329,"Fun, fun, fun!  Concise and topical. Straightforward, clear writing.","Fun, fun, fun! Concise and topical. Straightforward, clear writing."
train,330,Proof of Heaven was a disappointment.  It was a lot of neurological detail that is not an easy read for a lay person.,Proof of Heaven was a disappointment. It was a lot of neurological detail that is not an easy read for a lay person.
train,332,"I responded to an ad in the print edition of Golf, to which I subscribe.  Kindle edition convenient and no additional cost.  Definitely worth the price of free.","I responded to an ad in the print edition of Golf, to which I subscribe. Kindle edition convenient and no additional cost. Definitely worth the price of free."
train,334,This magazine used to be cutting edge...  now its one big advertisement... 34 full page adds out of 88 for one issue... its soI used to look forward to each issue.  Not anymore!,This magazine used to be cutting edge... now its one big advertisement... 34 full page adds out of 88 for one issue... its soI used to look forward to each issue. Not anymore!
train,337,I ordered this magazine on 11/30 -- it is now 2/1 and it still has not arrived.  Can't really rate the magazine since I haven't gotten it yet.,I ordered this magazine on 11/30 -- it is now 2/1 and it still has not arrived. Can't really rate the magazine since I haven't gotten it yet.
train,340,Magazine is so thin now.  Not worth it.,Magazine is so thin now. Not worth it.
train,344,Gifted this and they loved it.  This was a great gift idea and a great way to do it for me.,Gifted this and they loved it. This was a great gift idea and a great way to do it for me.
train,346,Love this magazine!  Much has been learned from the articles and projects.  Absolutely love the tool tips.  Will be renewing when my subscription runs out.,Love this magazine! Much has been learned from the articles and projects. Absolutely love the tool tips. Will be renewing when my subscription runs out.
train,349,The issue about local schools is so excellent.  Very organized and easy to use.  Very helpful and interesting.,The issue about local schools is so excellent. Very organized and easy to use. Very helpful and interesting.
train,350,i ordered this product for Xmas and have yet to receive an issue.  Amazon sold but magazine did not deliver.,i ordered this product for Xmas and have yet to receive an issue. Amazon sold but magazine did not deliver.
train,378,Lots on thick ad inserts make it hard to get to the important stuff.  I will not renew!,Lots on thick ad inserts make it hard to get to the important stuff. I will not renew!
train,379,Can't beat a wired magazine for keeping up with all kinds of topics.  Highly recommended for EVERYONE.,Can't beat a wired magazine for keeping up with all kinds of topics. Highly recommended for EVERYONE.
train,380,"I bought this magazine while waiting at the airport hopefully to learn something.  Disappointed, I found too many ads in the magazine while information is so-so.","I bought this magazine while waiting at the airport hopefully to learn something. Disappointed, I found too many ads in the magazine while information is so-so."
train,384,I thought there would be much more journaling.  It is all pictures.  Not my cup of tea at all.,I thought there would be much more journaling. It is all pictures. Not my cup of tea at all.
train,394,Poor content related magazine.  I never really was engaged by any of the articles.,Poor content related magazine. I never really was engaged by any of the articles.
train,410,"I love it.  I live in L.A. and really need to know what's going on, and this magazine gives me everything.","I love it. I live in L.A. and really need to know what's going on, and this magazine gives me everything."
train,419,"Gone 21st century and that isn't an improvement in my book.  Used to love this mag, but highly disappointed in its current state.","Gone 21st century and that isn't an improvement in my book. Used to love this mag, but highly disappointed in its current state."
train,426,A good mix of basics and more advanced ideas.  I like it.,A good mix of basics and more advanced ideas. I like it.
train,427,"Great and full of need information.  Even do it ur self things.

Enjoy every month.  Will renew many times.

I even save the monthly copies for reference.",Great and full of need information. Even do it ur self things. Enjoy every month. Will renew many times. I even save the monthly copies for reference.
train,429,awesome price!!!  awesome product!!! fast delivery!!! who could ask for more???  thanks so much!  God bless you!!  :),awesome price!!! awesome product!!! fast delivery!!! who could ask for more??? thanks so much! God bless you!! :)
train,430,"Too much advertisement ! Not so much things to read.
I will cancel my subscription.",Too much advertisement ! Not so much things to read. I will cancel my subscription.
train,432,"I'd like to find out about getting a refund, since I've been charged for a magazine subscription without getting any actual issues.  This is a very disappointing ""special offer"".","I'd like to find out about getting a refund, since I've been charged for a magazine subscription without getting any actual issues. This is a very disappointing ""special offer""."
train,435,Was disappointed .  Contest let them use Photoshop.  I thought a good photographer did it all with camera settings.,Was disappointed . Contest let them use Photoshop. I thought a good photographer did it all with camera settings.
train,436,"My grandson loves this magazine! He is 16 and has often commented and quotes on stories on what he's read.

.",My grandson loves this magazine! He is 16 and has often commented and quotes on stories on what he's read. .
train,448,"Once one of my favorites,  this magazine has deteriorated to the point that after many years,  I know longer subscribe.","Once one of my favorites, this magazine has deteriorated to the point that after many years, I know longer subscribe."
train,449,"Just full of advertisements.  Zero quality articles.  Not happy with this and won't order again.. I really tried to like it, as fashion is so much fun, but this was a big dud.","Just full of advertisements. Zero quality articles. Not happy with this and won't order again.. I really tried to like it, as fashion is so much fun, but this was a big dud."
train,452,I was under the impression that was getting 12  issues for 14.95 . So far all I've received  Is three.,I was under the impression that was getting 12 issues for 14.95 . So far all I've received Is three.
train,453,"I received 2 issues in my dead mother's name.....can't figure that out...she's been gone 2 years.
I ordered Dec 4th, today is Feb 16th, still no Smart Money in my name???","I received 2 issues in my dead mother's name.....can't figure that out...she's been gone 2 years. I ordered Dec 4th, today is Feb 16th, still no Smart Money in my name???"
train,457,Makes it easy to keep up with new developments in the next new thing.  Recommend for anyone who has a desire to learn about new products.,Makes it easy to keep up with new developments in the next new thing. Recommend for anyone who has a desire to learn about new products.
train,459,"Wish I had not mailed my check.  Most boring magazine I
Have ever seen. Anorexic models with pouty faces, none of
Them happy with life, I guess. Please
Refund my money.","Wish I had not mailed my check. Most boring magazine I Have ever seen. Anorexic models with pouty faces, none of Them happy with life, I guess. Please Refund my money."
train,460,I give this magazine to my niece for her birthday every year and she loves it!  It makes shopping for her very easy!,I give this magazine to my niece for her birthday every year and she loves it! It makes shopping for her very easy!
train,462,This is not a magazine.  There is no content.  It does not seem that the issues were delivered either. Save your money,This is not a magazine. There is no content. It does not seem that the issues were delivered either. Save your money
train,464,Too many advertisements and too little articles.  I will not renew.,Too many advertisements and too little articles. I will not renew.
train,469,A lot advertising. I didn t find many interesting articles.  Will not renew my subscription. Different than what I thought.,A lot advertising. I didn t find many interesting articles. Will not renew my subscription. Different than what I thought.
train,472,I love this magazine and have just ordered a subscription for my daughter too.  Very good value for the money.,I love this magazine and have just ordered a subscription for my daughter too. Very good value for the money.
train,482,"I love this magazine.  I can always find something new to learn.  Covers many, many areas of woodworking, from novice to expert.  Highly recommend.","I love this magazine. I can always find something new to learn. Covers many, many areas of woodworking, from novice to expert. Highly recommend."
train,487,"Well since I only just got my first digital issue, I can only give it 1 star!
Based on the first issue (May) I'm not impressed.....Yet!","Well since I only just got my first digital issue, I can only give it 1 star! Based on the first issue (May) I'm not impressed.....Yet!"
train,490,My daughter has not started receiving the magazine. When will she start getting it. I ordered it in December.  ?????,My daughter has not started receiving the magazine. When will she start getting it. I ordered it in December. ?????
train,492,Great magazine for the outdoor enthusiasts.  Fishing and hunting are both covered very well,Great magazine for the outdoor enthusiasts. Fishing and hunting are both covered very well
train,493,"Just read their latest issue, alot of bizzare recipes and things I'd probably never make.
Won't renew","Just read their latest issue, alot of bizzare recipes and things I'd probably never make. Won't renew"
train,496,Very good magazine that gives explanations and descriptions that are not overly difficult to comprehend for many age levels  . . from adults to childre..,Very good magazine that gives explanations and descriptions that are not overly difficult to comprehend for many age levels . . from adults to childre..
train,497,Too many Ads  will not purchase again!,Too many Ads will not purchase again!
train,509,"Got the magazine for a really great price, $5 for a years sub.  Husband loves the magazine, gotten it for years.","Got the magazine for a really great price, $5 for a years sub. Husband loves the magazine, gotten it for years."
train,510,Not my style of magazine.  Just ads.,Not my style of magazine. Just ads.
train,512,This magazine is a great resource and a great value.  Got it for my son who is in to gadgets and electronics.,This magazine is a great resource and a great value. Got it for my son who is in to gadgets and electronics.
train,514,"I love this magazine. I have been receiving it regularly since I ordered it and it always arrives in good condition

GREAT VALUE",I love this magazine. I have been receiving it regularly since I ordered it and it always arrives in good condition GREAT VALUE
train,522,My Dad loves this magazine.  It is full of helpful hints and tips.,My Dad loves this magazine. It is full of helpful hints and tips.
train,523,This is my drool magazine.  I wish I could afford the clothes so I have to put together looks that I like for less.  One of these days.....,This is my drool magazine. I wish I could afford the clothes so I have to put together looks that I like for less. One of these days.....
train,530,"never anyting in it I am interested in  Certainly nothing suits our lifestyle, don't know hat more to say, bad choice.","never anyting in it I am interested in Certainly nothing suits our lifestyle, don't know hat more to say, bad choice."
train,532,"Another great magazine.  Tons of fashion, very interesting articles, beautifully photographed.  Even love the ads.  Super special price as well.","Another great magazine. Tons of fashion, very interesting articles, beautifully photographed. Even love the ads. Super special price as well."
train,539,it's  a cheap magazine  ... and my dad likes to fish but it has way way way too many ads,it's a cheap magazine ... and my dad likes to fish but it has way way way too many ads
train,540,My husband reads this from cover to cover.  It is his favorite hunting magazine.  He saves them for several months and refers back to back issues often.,My husband reads this from cover to cover. It is his favorite hunting magazine. He saves them for several months and refers back to back issues often.
train,542,I AM VERY PLEASED IT REMINDS ME OF THE MAGAZINE FROM YEARS AGO. I AM VERY HAPPY I HAVE STARTED A SUBSCRIPTION  TO IT AGAIN.,I AM VERY PLEASED IT REMINDS ME OF THE MAGAZINE FROM YEARS AGO. I AM VERY HAPPY I HAVE STARTED A SUBSCRIPTION TO IT AGAIN.
train,544,Not my type of a magazine.  More for the sophisticated woman.  Will not be ordering it again.,Not my type of a magazine. More for the sophisticated woman. Will not be ordering it again.
train,546,It is just too fussy for me.  I like recipes and these are nothing that I like.  I would cancel if possible.,It is just too fussy for me. I like recipes and these are nothing that I like. I would cancel if possible.
train,554,Not sure why Im getting this.  I got a bill and the magazine all of a sudden,Not sure why Im getting this. I got a bill and the magazine all of a sudden
train,558,"I found that I don't really like this magazine...at all.
I keep flipping the pages and nothing catches my eye.
Will cancel soon.",I found that I don't really like this magazine...at all. I keep flipping the pages and nothing catches my eye. Will cancel soon.
train,561,"I have not received this magazing so, I can't review. It was charged to my credit card but not yet delivered.

Johnny","I have not received this magazing so, I can't review. It was charged to my credit card but not yet delivered. Johnny"
train,570,I enjoy this magazine.  I have been a subscriber for many years.,I enjoy this magazine. I have been a subscriber for many years.
train,573,I love this magazine!!!  Extremely happy that I was able to download it thank you!,I love this magazine!!! Extremely happy that I was able to download it thank you!
train,575,No longer good publication.  And look at the vulgar cover depicting Trump. . . no class,No longer good publication. And look at the vulgar cover depicting Trump. . . no class
train,578,I wish cancel my suscription redbook it was ordered by.  Mistake. Thank you.,I wish cancel my suscription redbook it was ordered by. Mistake. Thank you.
train,582,"Popular Science has a lot of interesting articles that are written in a way that anyone can understand them.
This magazine keeps one up to date on the latest science stuff.",Popular Science has a lot of interesting articles that are written in a way that anyone can understand them. This magazine keeps one up to date on the latest science stuff.
train,585,"I absolutely love this magazine.

I find amazing things I never new off and especially the new inventing are very interesting.",I absolutely love this magazine. I find amazing things I never new off and especially the new inventing are very interesting.
train,598,Cannot read on Kindle Fire because the issue does not zoom out to enlarge.  I would give it zero stars!,Cannot read on Kindle Fire because the issue does not zoom out to enlarge. I would give it zero stars!
train,602,The best.  I'm so glad it exists.,The best. I'm so glad it exists.
train,604,"The first issue I received did not allow access to articles by columnists.  So far, haven't been able to access anything in second issue.  Will cancel my subscription.","The first issue I received did not allow access to articles by columnists. So far, haven't been able to access anything in second issue. Will cancel my subscription."
train,612,"Got this as a gift for my Dad, who is a Western History buff and he loves it.  Money well spent!","Got this as a gift for my Dad, who is a Western History buff and he loves it. Money well spent!"
train,613,I enjoy Redbook.  There are always interesting articles and celebrity interviews.,I enjoy Redbook. There are always interesting articles and celebrity interviews.
train,614,I've been reading for at least 10 years.  That says it all.  Normally get two years at a time.  Love it.,I've been reading for at least 10 years. That says it all. Normally get two years at a time. Love it.
train,616,The amount of ads that are in the magazines is equal to the number of ads.  Would like to see less ads.,The amount of ads that are in the magazines is equal to the number of ads. Would like to see less ads.
train,620,Exceptional magazine and great price for two year subscription.  Arrived very promptly and it alway fun to read and look forward to receiving.!,Exceptional magazine and great price for two year subscription. Arrived very promptly and it alway fun to read and look forward to receiving.!
train,621,"such great articles. advice and beauty tips. delicious recipes. up to date informative articles. been reading redbook for 40 yrs. now.
love all hearst magazines.",such great articles. advice and beauty tips. delicious recipes. up to date informative articles. been reading redbook for 40 yrs. now. love all hearst magazines.
train,624,One of my most favorite magazines.  Always interesting and current.,One of my most favorite magazines. Always interesting and current.
train,633,I haven't received my magazine yet - where is it???  I ordered the magazine over a month ago and I still have not received my first subscription??!,I haven't received my magazine yet - where is it??? I ordered the magazine over a month ago and I still have not received my first subscription??!
train,635,I ordered this for my mother for Christmas and it is her favorite magazine!  Classically informative and excellent for home design or re-design.,I ordered this for my mother for Christmas and it is her favorite magazine! Classically informative and excellent for home design or re-design.
train,647,Someone dropped the ball - this never arrived 8 months later.  Maybe you shouldn't get it through Amazon?,Someone dropped the ball - this never arrived 8 months later. Maybe you shouldn't get it through Amazon?
