review_text,label
"Order it in March and only receive 2 copy so far, will never order any magazine every again.",negative
"I love this magazine! I subscribe to approx 10 to 15 magazines and I look forward to this one most! Great tips, money savers, and fashion insight in general!",positive
My only complaint is constantly getting renewal messages in the mail. I received one even before getting the first issue.,positive
It has only a few good articles (2 or 3) and the rest are just ads.  Simply put too many ads.,positive
It took two months to receive the first magazine and didn't receive any more after that.  Defenitely the last magazine subscription I order from Amazon.,negative
Worth the 99 cents per issue I paid for it.,negative
Great content! Happy reading with this magazine! Also a good tool for learning English. Love it!,positive
"This is a great magazine. I have subscribed to it for as long as I can remember. It is full of great advice, new product information, etc. I love it and HIGHLY recommend it!!",positive
"When the renewal starts since I purchase it.
The letter came yesterday to renewal it so now do it.",positive
"Meh, I'll just pick it up at the store.",positive
"I ended up cancelling, because it became too political. I wanted more fashion!",negative
"sucks
you may or may not receive you order",negative
I love this!,positive
"Have to say very disappointed, poor articles and a lot of unrealistic ideas.",negative
"Did not order this, I hate magazines.",negative
Like most mags today too many adds,positive
too many add.s,positive
This is a great magazine for fun reading.,positive
This magazine is about 70% advertisements.  It's a shame.  I canceled my subscription.,negative
"This app needs work as it will only download the first few pages then ""gets stuck"".  Glad I only bought one issue and I will delete that.",negative
Got it for my son but he had to cancel it because there were too many risqu&eacute; articles and pictures in it (he has 3 small boys),positive
Too many adds!,positive
i don't like that its a running subscribtion,positive
Won't buy again. Too many advertisements.,negative
I get this magazine and comments are Right..Nothing but ads! If I wanted to see ads I would just watch TV!,negative
"not like use to.  Too much ads, (every page?)  no thanks",negative
Thought this was a monthly magazine. Buyer receivies one mag every 3 months. Every three months one can almost forget they ordered the magazine.,negative
Never could get subscription information corrected.,negative
Fun magazine for home improvement,positive
Lots of adds.  Light on content.,positive
The ratio of advertisement to content was unappealing.,negative
"Boring, repetitive themes. Would probably notbuy again",positive
i cant access my subscription and the links don't work. i uninstalled the app and installed it again with no luck.,negative
I am very displeased with this.  I tried to cancel my subscription but they would not do so.  I do not want this magazine.,negative
This only came for two months and then just stopped... not a very good mag anyway,negative
Not available  for purchase? Why list it under Kindle Unlimited  then?,negative
"I'm sure it's a pretty good mag, but I'll never know, because it will not download to either my Kindle or my PC.",positive
Not compatible on Android tablets via Kindle app.  Beware...,negative
Received an issue around thanksgiving and then nothing.,negative
Haven't Bought Magazines In A Long Time. Decided to try. Most Of The Magazine Are Adds.,positive
Almost half the magazine is alcohol and cigarette ads.  Could not use them to reading time in my classroom.,negative
Articles are no longer very interesting.  Basically you can get all the highlights of the articles online for free.,negative
Thought this magazine would be similar to Cosmo but unfortunately I was wrong. It seems kind of boring to me.,positive
"my mother kept every Christmas issue for years
I love looking at them . . classic",positive
"Excellent magazine, wonderful and informative.",positive
Got 1 or 2 issues! Waste of money,negative
"Good magazine, plenty of interesting stuff, up to date info, fashions, fashion tips, health and beauty.
Would recommend.",positive
It is a great magazine for men.,positive
Love this magazine! Lots of great ideas and tips. Also really enjoy the recipes,positive
great magazine!  Came very quickly.,positive
there's too many ads and not enough articles.  Self magazine and marie claire are better for this reason.,negative
magazine has too many adds not enough mens health,negative
Magazine is nothing but advertisements,negative
to many ads,positive
good read,positive
This is definitely a magazine worth buying! So much helpful information!!,positive
Still am waiting on the magazine when I got an email a month ago saying it was being processed and I should get it shortly,negative
Love it! The price was excellent.,positive
Expect 95% ads 5% actual content.,negative
It has a lot of adds,positive
SO many ads now... I'm glad I didn't pay full price. Im 28 and viagra ads every other page aren' necessary.,positive
The little bit of content in the magazine is great. There are way too many ads in it now. I have a few years worth of old issues and they were great. Now not so much.,negative
"Only have received one magazine, not impressed with this one",negative
Alway liked Mens Health. Great to get a digital copy,positive
"Got the first issue and then cancelled.  Lots of health info followed by a FULL PAGE AD FOR CIGARETTES.
Can you say hypocritical !!!!",negative
"Quality of this publication has gone down over the past years. Pretty dissapointed in the content, will not renew my subscription",positive
I bought this for my husband and paid $15 for two years. We have gotten 1 issue in 3 months and 5 bills saying we owe $10. This is an awful deal.,negative
Love my magazine every month,positive
The magazine has seemed to take a slightly homosexual slant. I will not purchase it again because i don't think it represents who i am as a man anymore.,negative
I ordered this magazine and did not receive one single issue.,positive
very satisfied.,positive
Nothing but ads,negative
I think there are a lot of useless articles.  The cabbage recipes were unappetizing.  I was glad I didn't buy it.,negative
My favorite at a great price. Been getting for years.,positive
I ordered this for my son but he has yet to receive it!,negative
Excellent!!!,positive
"Great magazine, all sorts of tips for guys to get and stay in shape.",positive
"Very good magazine!! Has a lot of information about new products, a very interesting proyects...",positive
too many ads.,positive
Long time fan of this magazine,positive
I can learn how to eat healthy and do exercise at the gym on my own thank you very much.  I cancelled my subscription.,negative
My Son loves this magazine and appreciated me buying it for him,positive
Always a reliable source for up to date holiday decorating and gardening ideas. I have depended on these good ideas for more than 20 years!,positive
Just love this magazine.,positive
always good articles.,positive
"The magazine is starting to have fair to much advertising and less pertinent info on ""Men's Health"".  I might have to switch to something else.",positive
"i ordered  men's health for someone incarcerated,  i year subscribtion., out of  that year they only received 2 magazines.",negative
"If you're a man, no other magazine out there compares. A wonderful price, a wonderful gift for those men in your life!",positive
"It's a magazine... is there really reviews on those??

 Yea is an pretty nice magazine.  Has all kinds of magazine stuff in it...",positive
It is full of ads but is cheap.,positive
"This is the same reason I stopped buying the printed version years ago, more informative articles are required...especially for the everyday man.",negative
Men's Health is a great magazine & Kindle + physical copies is so convenient. I love it!! Nddj Kidd djdj <--filler words lol,positive
mostly useless information and way too many ads small in comparison to what they used to be.,negative
"I'm writing a one point review because I never did get the magazine on my kindle.  Wow I thought I subscribed to it a while ago.  Please correct.
Diane Boyle",negative
great recipes.,positive
Love my BHG.,positive
It seems to be me a little more liberal than I like. I don't know if I will renew again.,positive
"Ridiculous. Show a few recipes and a couple pictures of $25,000 kitchens and you've got this magazine. The rest is nothing but ads for depression and erectile dysfunction.",negative
"SOOOO MANY ADS!!!!!
So many in fact, you won't be able to tell what's written by the Magazine and what's an ad.",negative
Renewal w/o notice.,negative
Not much science; should up the targeted education level.,negative
Received my first magazine in May and it was the April issue.  I hope they don't charge me for a month old magazine.,positive
"Definite room for improvement... they are still sending my magazines to my parent's house, after repeated phone calls and account updates.",negative
Don't waste your time unless you have a kindle fire or ipad.  Kindle apps on android phones or tablets are not allowed to load this kindle item.,negative
Great outdoor articles! We are using many ideas from Better Homes for our backyard and front porch.,positive
Too expensive for little substance,positive
I've loved this magazine since I started swiping copies from the school library. I was in 3rd grade.,positive
You keep sending it to the wrong address and it is present to some else.  I am trying to correct this.,negative
My dad loved his birthday present! Thank you!,positive
"This is perhaps one of the best around the house mags to give you great ideas for home improvement, maintenance and shop organization.",positive
To much advertisement print is yought to read and subject matter is juvenille I will not be ordering next time,negative
Too much advertising! I'm tired of getting more and more ads each month. I've been a subscriber for years but I will cancel due to this issue.,negative
I love this magazine and you can't beat this price.,positive
Received my first two issues on the same day. One i had already purchased a month earlier and the other was the prior months issue! I won't buy subscriptions from here anymore.,negative
"Poor writing, and includes a ridiculous full-page ad for male sexual enhancements.  Don't give this to kids.",negative
"My favorite magazine, by far.",positive
If you are interested in home improvement or home projects you have to have this magazine. I have subscribed for years and always will. Always something new and different.,positive
a ton of adds and so far - nothing new,positive
"Another THIN issue.  Hoping this was a one-time thing.  Will not purchase again, if this continues to be the norm.",negative
A great Christmas gift that keeps on giving all year....,positive
"I got bombarded with glossy junk mail and watch out for hidden renewals.
My wife got me a subscription through her airline miles program. I did not like it.",negative
Great for tips and tricks to make yourself more knowledgeable. Got a few subscriptions as a gift for a few years now. They love it.,positive
Love to read the articles and recipes!  Loved to read mom's subscription growing up and now I've given it to my daughters.  Three generations of readers....,positive
Love to have it on my tablet!,positive
Terrible. Will not fully download. Worked fine until recently. Last two issues only download a few random pages.,negative
Just what I was looking for!,positive
I bought this for my boyfriend because he kept taking my Cosmo magazine.  It has great articles for guys and for their girlfriends.,positive
I haven't recieved a single copy so I can't really review it. All I can say is the amazom service is terrible.,negative
"Unfortunately, I must give this magazine a O as I have yet to recieve an issue.",negative
I love that I see so much of my style and personality in BHG!,positive
Got this for my wife. She loves it. So many good articles and great recipes.,positive
i cant wait for each issue to arrive I love this magazine has tons of diy projects and tips,positive
50-60% advertisements. I guess that is why it only costs $5 a year...,positive
cant go wrong,positive
"I purchased this to read in doctors office.  With changes in the way it is down loaded and how many can be on my device, that plan is not working.  I do not like",negative
I have tried and tried to get Julys issue on my kindle with no avail,positive
Again...not like it was 30-40 years ago!,positive
my favorite wood magazine,positive
Love this new version of magazines. Very easy to flip from one topic to another and save a tree in the process and space in my house.,positive
I'm not getting these monthly as I had expected.,negative
"I probably shouldn't have gotten it for 5th graders.  There were cigarette ads throughout each issue!  Really could've done without those, and the conversations that followed!",negative
"Most of our family on our account has the original Kindle Fire, which this isn't compatible with. Really stupid. Will not renew because only one of us can read it.",negative
"Wonderful magazine, I am a subscriber for15 years and I love it, now that I can get the digital issue on my kindle, I can read anywhere.
thanks!",positive
"I look forward to checking the latest issue every month.  With this new edition, the magazine has been downloading for 3 days.  It is a technical problem.",negative
"I subscribed most of my adult life.  I finally discontinued because the magazine is now more ""Popular People of Science""  and less about the science itself.",positive
"The magazine is on the device but to open it, I wait for page downloads that sometimes never happen. Other publications work fine",negative
"One of my favorite magazines. Great cooking, decorating & gardening inspiration. Great photos and beautiful colors. It never gets old.",positive
I received only two issues and have not been able to download the next issue. I do not seem to have any avenues to resolve my subscription issues.,negative
"I have read BH&G since the 70s.  I have never been disappointed with the quality and content.  Always interesting and so full of projects, ideas and recipes.",positive
Great for anyone that what do DIY.,positive
My dad loves it!,positive
I am unable to access the magazine. I'm being asked to sign in with information I don't have. App not working for me at all.,negative
"Love reading the great articles, always so interesting.",positive
I love science and this magazine keeps me up to date on what's happening now and hopefully in years to come.,positive
The articles were not well written nor were they particularly topical. Would not recommend for the thoughtful reader od ant political persuasion,positive
Canx my subscription....way too much advertisement!  Keep in mind though. I hate commercials!  Only exception is Superbowl!,negative
"I have been reading The Week, Economist and until last year, Newsweek. I wanted to give Mother Jones a try and I wasn't disappointed. Lots of good journalism.",positive
It took forever to get 1 issue! will never order again!,negative
I did not renew my subscription. The writing and topics just weren't that good.,positive
The magazine is so thin -- not much articles to read in this issue.  Will the coming issues also be this thin?,negative
Two and a half months waiting for first magazine...No customer service access to find out why...they where quick to take my money though!!!,negative
Always a favorite magazine of mine.,positive
Poorly thought out rag,negative
"Best bike magazine ever, love it. Great articles on riding safety too. Ron L",positive
Kelly-K of Shiftn Steel Sport Riderz says its a magazine for folks like myself who love to ride! [...] check it out!,positive
"You know it. I love it. Value for the money with lots of tips for home, yard, food, and decorating.",positive
Watch out for the advertising,positive
I'm very please with my subscription.  Every issue is on time and filled with all kinds of ideas!  Thank you!,positive
Great buy! Highly recommend.,positive
We both love this magazine,positive
Seems like each magazine gets smaller each time and it appears that there are way too many advertisements.  I liked it much better before.,positive
I'm a HD rider and this is really not defined to that manufactor.  I skim though it every month but I won't subscribe again.,negative
Husband loves it.,positive
Great magazine at an amazing price!,positive
Love this magazine!  Have subscribed to it for years!  Buying my subscription through Amazon gets me the beat price and best delivery!,positive
Mostly advertisements for rich people and the rest is liberal.,positive
"My husband loves, loves, loves this magazine. Actually, I find myself flipping through it as well.  If you are a "" do it yourselfer""  than this magazine is a must!",positive
I give this magazine to the woodworkers in our family and they love it.  It is well illustrated and has projects for the beginner as well as the advanced woodworker.,positive
Love the subscription,positive
"I have been a subscriber for over 20 years and love, love, love this magazine.  Can't beat the value by ordering from here!",positive
ITS OVER 1/2 FULL OF ADVERTISEMENTS.I WILL NOT RENEW MY SUBSCRIPTION,positive
Too many advertisements every month. Not enough reading stories,positive
"This is truly one of the best written, most interesting magazines available. While its appeal is mainly to Texans or former Texans, others will find the articles interesting.",positive
Love the wonderfully written articles and the fantastic focus on our wonderful state. We 'kids' renew it annually as a gift for Daddy!,positive
"As always, this magazine exceeds my exectations.  I learn valuable new tips with every issue.
Sharon Weeks",positive
"Handy household tips, always interesting to read.",positive
"Love it.  Great magazine, great articles, great price.  I wish Amazon was adding more 1 year auto renewal magazines (instead of removing them)",positive
There are way to few helpful articles in these PC World and some others. 80% ads and it's a waste of trees to make the paper.,negative
I ordered this on 12/23/08 as a gift and the person still has not received their first issue as of 2/3/09.  Very disappointed.,negative
"Seriously Popular Science, I am done subscribing, I have been a subscriber for YEARS and it's like 99% ad's these days. Forget it, I am done",negative
perhaps my expectations were too high.  Disappointed.,negative
"they automatically renew even after you cancel it and repeatedly bill you , they have done it to so many people do your research before buying",negative
Predictable hacks.,negative
"Given as a gift. We have heard no feedback.
Must have not impressed the recipient.",positive
"I have not received this magazine, so I can not write a review>
Please let me know when I will receive the magazine.
Tnank you.

Carol",negative
Haven't received my subscription yet! I going to give this product more time  to arrive to my home before  I contact who is responsible.,negative
"Ordered magazine on 12/27/08.  As of February 27, 2009 still have not received my subscription.",negative
"I am unable to review the product PC World, I haven't heard anything from the publisher or received a copy yet.",negative
I love this magazine! I think it's my favorite one! I like the price and I also enjoy the auto renewal. They continue to treat me well and the price has stayed consistent.,positive
Just tells stats,positive
Nice magazine to keep up with what is going on in Texas. Nice travel guide around Texas also.,positive
"Way too many, mostly non-relevant ads. Not much substance to the articles.",negative
"way too many ads, and not enough articles.",negative
Love it! The whole state covered a to z,positive
The Best out there today....by any standard,positive
A great publication for pilots.,positive
Lots of advertising.  Light on content.,positive
Too expensive for my taste!,negative
"Living in Vegas, I truly miss my beloved Texas.  The magazine keeps me informed of happenings across the state.  The articles and BBQ recipes are just the best!!!",positive
It is all bout selling high end stuff. Not much useful here.,negative
"Wonderful magazine! Thank you for the opportunity to purchase at a great price!
Brenda Cooper",positive
"Left wing, self hating, pinko socialist commy rag. This has nothing to do with the real Texas.",negative
I bought so that i can show it to my 10 year old son....its littered with tobacco advertisements and very little content.,negative
"Mostly ads, hardly any content",negative
"My husband LOVES this magazine. It is just technical enough to keep his interest, but not too much to where he can't understand the articles. It is a great gift subscription.",positive
"Wonderful magazine with tons of ideas and current trends in decorating. Nice color pictures, informative articles and good advice from the pros.",positive
I'm glad that i'm now receiving House Beautiful!,positive
Sent this subscription to my son three years ago and he loves it.  I have renewed it for him here at a great price.,positive
Ordered my subscription of month ago still haven't gotten it... And now you're asking me to rate it... So I will rate this a big zero,negative
This mag needs a new editor. I haven't seen anything interesting in Better Homes for six months. Maybe they are spread too thin with their website and contests.,negative
heavily weighted with advertisements,positive
look forward to receiving each month,positive
Nice magazine with ideas.,positive
"Too many ads.  Too many ""Best restaurents, doctors, lawyers, etc."" listings.  Maybe one or two good articles per issue.  Probably won't subscribe again.",positive
Love this magazine. Great decorative products and great design work.,positive
Didn't order this.  PLEASE DON'T ORDER THIS MAGAZINE.,negative
"This magazine is great, the pictures, writing and even the adds are beautiful. I feel like I'm sharing part of the world I haven't yet traveled in.",positive
"The stories, locations, and special interests topics are spectacular and well written.  Would recommend this to all of my friends.",positive
More Ads than magazine. A little disappointed.,positive
Too many ads !,negative
My dad called to let me know he got his first issue.  He and mom love it.  I knew that they would.  Thanks Amazon for making it available at a great cost.,positive
i did not order auto renewal....and there was an additional discount offered which i was not given,negative
I was disappointed as I don't travel on quite the grand scale they cater to.  I cancelled after 5 mos. as I couln't find anything appliable to my style.,positive
"Good magazine, with lots of interesting info and trivia on various places in Texas, and the way of life there.",positive
More than half of the magazine is ads. So much I got bored of flipping thru the pages.,negative
got back to the 70s really ugly ideas,negative
I can't review the Monthly at this time; simply I ain't received it.  LOL,negative
"House Beautiful inspires me to make little changes in my home to keep 'in style.'  There's always an article about using color, and Alex has some good recipes!",positive
"The subscription  started a month earlier than I was told, which was great...",positive
I love these magazines. They are really helpful and help you think of things that you normally wouldn't. They have many great ideas with cut sizes for wood projects.,positive
"very big waste of money, wouldn't take it again even if it was free",negative
"No better than it was years ago when I quit subscribing.
Too many ads and not enough articles of interest.
Still pretty poor.",negative
I did not like the magazine.  Cancelled the subscription after about 15 minutes. Lots of ads and not much to read. Sorry.,negative
"Mostly ads anyway, this magazine is only for the wealthy.  I have better ways of spending my money than wasting $200 on a throw pillow.",negative
Still has too much advertising for the regular price of the magazine.  Not sure if I will renew or buy in future on regular basis.,positive
I have still not received even the 1st copy. I ordered & paid for it several weeks ago.,negative
Way too many ads in this magazine and not enough travel content for the regular traveler.  I won't renew this subscription when it's time.,positive
Great price and great magazine.,positive
"Subscribed through Amazon for one year from July 2014 to July 2015. Got automatically renewed in April 2015 without notice, three months before it is supposed to renew.",negative
unusefull,negative
"This magazine is full of great articles, tips and lots of information for a homeowner. I love to read it.",positive
"I've always loved this magazine---I'm so glad I finally got around to getting a subsrciption!

YES, there ARE moderates and liberals in Texas!",positive
"Four months after sale and still not the first issue. My subscription must be in limbo-land,",negative
"This magazine, first issue came before I expected
but good to have. Nicely done. Bought the subscription
for $39 for 6 mos. You get this US Wkly every week!",positive
This magazine is full of ideas. Great do it yourself pictures. Tips from the pros. A year round gift too.,positive
No info for print subscriber to assist in understanding digital policy?  You just  want me to pay...again?  Not everyone buys Apple.,negative
Love this magazine and love the price through Amazon.,positive
Liberal magazine full of gossip.,negative
Disappointed.,negative
Loved it .. especially the articles on fashion.,positive
Trashy magazine written by trashy people. Complete garbage.,negative
Still having technical difficulties processing my subscription?  It's been 6 months!,negative
What can you say about the perfect golf magazine?  My husband loves it.  Perfect gift for him!,positive
Going to cancel. Surface news not substance.,negative
Horrible. None of the stories are real. Another tabloid rag mag. Won't be renewing. Good thing I only paid 5 bucks.... That's all it's worth for a year.,negative
ENJOY READING,positive
"Especially House Beautiful, and I really appreciate that I don't have to download any other apps just to read an issue.",positive
"It's great!!!
I would recommend this book to all of my friends. I have learned a lot from this magazine. LOVE LOVE LOVE!!!",positive
I have been subscribing to handyman for many years and I keep up with my old issues for my use as well as those that come by to borrow them.  Great ideas that we all can use.,positive
"This is perhaps my favorite magazine of this type. Interesting, beautiful homes in each issue with inspiring photos to boot!",positive
Totally liberal and one-sided. I can't stand how biased this magazine is. Awful.,negative
"To many ads and not enough real articlies to shank up my attention.
Truely, a loss of one my all time farvoite magazines!!!!",negative
I find that this magazine is too full of advertising and not enough of the guitar lessons material I was looking for.  I won't re-subscribe.,negative
I've been receiving Family Handyman for a number of years and love it. I bought this copy for a friend.,positive
Superb magazine with beautiful ideas for decorating your home. Application and selection of colors bring out the best in design features.,positive
"I've been reading GOLF Magazine for years and feel it is the best golf magazine available.  I have just begun reading it electronically, which makes more sense for me.",positive
It is not what I expected.  I defintely do not want to renew for another year.  There are a lot of magazines that give you tips and ideas for your home.  Do not renew.,negative
I have always liked House Beautiful. I got it for a good price so was really happy with this purchase.,positive
Especially love the designers that tell why a specific shade of a color is one they love. I look forward to every month's issue.,positive
"I look forward every month to get my issue and read in bed after a long, hectic day.  I highly recommend it.",positive
mostly advertisements,positive
"Great articles, fast shipping",positive
Love this magazine! Great ideas with a very good price.  The photos are great and the houses picked are decorated by fenomenal artists.,positive
much to many ads and less stories,negative
"love these mags, they stimulate the mind.",positive
about 95% advertising...I cancelled it...,negative
"I love this, I get the print magazine and love the interactive parts of the digital magazine",positive
The best in contemporary literary Sci-fi!,positive
"I love this magazine, it has tons of great ideas, tips and tools.  I like it so much I ordered a subscription for my brother.",positive
"I am always waiting to get my next issue, every page is extremely captivating and fun, a awesome magazine for anyone who loves science and technology.",positive
To many ads.,positive
have not received a issue yet....when will it start coming in the mail....it was a gift very upsetting ...will not do this again,negative
The renewal subscription started before my current subscription ended.,negative
Downloaded this to my android tablet. It opened for 2 seconds then closed. Downloaded again - same problem. I bought Clarkesworld and Galaxy at the same time and those are fine.,negative
Great magazine for a great price!!!!,positive
"In my opinion, it doesn't have alot of content and might as well subscribe to their facebook page and get it there for free",negative
"Fun, fun, fun!  Concise and topical. Straightforward, clear writing.",positive
Proof of Heaven was a disappointment.  It was a lot of neurological detail that is not an easy read for a lay person.,positive
Loved it. Had time to reflect and use the strokes outlined. Took some of the pages and started a book to refer to.,negative
"I responded to an ad in the print edition of Golf, to which I subscribe.  Kindle edition convenient and no additional cost.  Definitely worth the price of free.",positive
I love the fact that it gives ideas of DIY projects that can be completed on weekends. There are updates on national codes that assist you in getting the project done correctly,positive
This magazine used to be cutting edge...  now its one big advertisement... 34 full page adds out of 88 for one issue... its soI used to look forward to each issue.  Not anymore!,negative
Not worth the read.,negative
Credit card charged over two months ago and no magazine yet. How about a refund?,negative
I ordered this magazine on 11/30 -- it is now 2/1 and it still has not arrived.  Can't really rate the magazine since I haven't gotten it yet.,positive
Ordered since 27/11/09. Still no mag 31/01/10. I'm still hopeful though. Ordered Cosmo which is by same pulisher and received last week in December.,negative
This is another one of my husbands favorite magazines. he has used several of the ideas he has found in the magazine around our house.,positive
Magazine is so thin now.  Not worth it.,negative
Cancelled my intended subscription because articles were not to my liking.,negative
Warning! Kindle Fire won't bookmark your page and remember where you stopped reading. Returns to page one when you return to magazine. Makes this mag close to useless.,negative
My nephew and brother love this mag. They are both avid golfer sand look forward to each issue. Easy present!,positive
Gifted this and they loved it.  This was a great gift idea and a great way to do it for me.,positive
This book had some neat projects in it. I will be making the work bench this winter. I have all the tools to complete the job.,positive
Love this magazine!  Much has been learned from the articles and projects.  Absolutely love the tool tips.  Will be renewing when my subscription runs out.,positive
"Very disappointed with all the advertising,more ads than articles or information,cancelled after trial issue",negative
The magazine is fine. Waiting for your first issue can take up to 2 months. Not a fan of waiting that long for anything.,negative
The issue about local schools is so excellent.  Very organized and easy to use.  Very helpful and interesting.,positive
i ordered this product for Xmas and have yet to receive an issue.  Amazon sold but magazine did not deliver.,negative
My son loves this magazine.,positive
great value for a 2 year subscription,positive
Too many ads. Not enough articles,negative
My husband is a all time Handyman. He has already learned so much from the magazine just in the first issue.,positive
"It you live in Canada be warned,magazine is always late by at least one issue,their customer service very unhelpful. buy it at the newsstand.",negative
"Newsweek used to be a pretty good, balenced magazine. Now it's about 60% ads 30% pictures and 10% ""news"" that always seem to be written like an editorial. Don't recommend anymore.",negative
My 36 year old husband loves this magazine. He is always telling me about things he read in it.,positive
Even with reading glasses I struggle to read the small font of this magazine.,negative
This is a great weekly magazine that gives me updates and information on the most current of events.,positive
do not waste your time on this pos,negative
"This was a gift last year, that he absolutely loved, so when his subscription ran out I got him a new one through amazon.",positive
Got a sub for my birthday. Enjoying it so far. Excellent read.,positive
"I wanted to give a gift subscription of PS to my grandson but have changed my mind due to the sexual content of many of its advertisements. Shame on you, PS!",negative
Not really what I thought it was. Not much in the magazine on computers and tech items. Would not recommend to anyone interested in computer components.,negative
"If you must read a news magazine, read Time....it's a lot better!",negative
"As soon as I downloaded this magazine my kindle went slowerer and slowerer. Not to mention,it has a horrible topic. Also I think they read this book in hell",negative
Hands down the best gift I have ever gotten someone and since we live together I get to read them too!,positive
Recent issue contained obscene advertizing,negative
"Wired used to be a great magazine. Recently, its become overly political and its articles have been reduced in quality and quantity. Save yourself the money. Even if its on sale.",negative
"Delivered to my Kindle, Whats not to love.",positive
C'mon - who doesn't love WIRED???,positive
"The writing/articles used to be much more interesting, plus there are a ton of ads in the magazine now. Not as good as it used to be.",positive
Not what I expected...Will cancel.,negative
Many articles were surprising and interesting reads. My students could not put the magazine down.,positive
Son loved these!!,positive
Not able to download on Paperwhite!!! What else is Paperwhite for if it cannot download ALL Kindle materials? Disgusting.,negative
"What was favored is the following: fast sign-up and download for Vogue, magazine layout, and information well worth reading.",positive
Lots on thick ad inserts make it hard to get to the important stuff.  I will not renew!,positive
Can't beat a wired magazine for keeping up with all kinds of topics.  Highly recommended for EVERYONE.,positive
"I bought this magazine while waiting at the airport hopefully to learn something.  Disappointed, I found too many ads in the magazine while information is so-so.",negative
"I Love it,,,,Special Digital Deal",positive
Beautiful !,positive
Cheap paer,negative
I thought there would be much more journaling.  It is all pictures.  Not my cup of tea at all.,negative
disappointed as I received one issue then was told there would be no more...,positive
Best magazine hands down.,positive
Don't like that you can only read the magazine vertically instead of horizontally. I have the iPad 12.9 and it would just be more comfortable if vogue had the option. :(,negative
Not much to say -- Another Photography rag,positive
"As many others have noted, there's precious little new or interesting information here. Popular Photography is basically one big ad, a shill for the camera equipment industry.",negative
Sooo many ads so little articles,positive
Great coverage of high-tech and current events. A must read.,positive
This magazine has nothing to do with Vogue patterns except the name.,negative
Nothing new in here,negative
Poor content related magazine.  I never really was engaged by any of the articles.,negative
Not good at all.,negative
"Awful, mostly ads and not much substance. This used to be a nice magazine, but I would pass on this one.",negative
My teenage daughters love this magazine!,positive
Still love paper magazines the best,negative
I bought this magazine subscription as I thought it would be like NY Mag but its incredibly superficial. I wouldn't recommend it.,negative
This magazine has too many advertisements and very little good contents!,negative
Fun magazine for people visiting LA for more than a day or two of the usual tourist sites. Also good for locals.,positive
Hard to really view in tablet form.,positive
Great magazine to read when you want to know what is happening in the real world.,positive
"80 pages of ads and only a few with advice, stories, reviews, or actual photography worth looking at.",negative
Magazine has a ton of ads.,positive
was NOT prepared for the money to be removed from my acct!,negative
Too liberal. Leave politics out of technology reporting.,negative
Some pages never download I never see pictures I never get it again I pay two times here and on the store,negative
Vogue has been one of my favorite magazines forever. September issue is the best. Love the food articles by Jeffrey S.,positive
"I love it.  I live in L.A. and really need to know what's going on, and this magazine gives me everything.",positive
"I've lived in L.A. all my life, it's my favorite place to be, and I'm so glad there is this magazine to cover everything about the city I love.",positive
"Unfortunately downloading Vogue takes way too much time, something like 1/2 hour and application crashes often. Not very stable application.",positive
Lots of advertisement.,positive
99% product advertisements than informative articles.,negative
"I cannot say enough about the Popular Science issues. I love them, they are a great source of information. Awesome!",positive
